📡央视频道,#genre#


CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8

CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV2,https://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8

CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8

CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8

CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8

CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8

CCTV16,https://node1.olelive.com:6443/live/CCTV16HD/hls.m3u8


📡内蒙古,#genre#
「内蒙古」,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
「内蒙古」少儿频道,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
「内蒙古」文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
「内蒙古」经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
「内蒙古」新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
「内蒙古」农牧频道,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800



📡卫视频道,#genre#

东方卫视,https://node1.olelive.com:6443/live/DONGFANGHD/hls.m3u8

广东卫视,https://node1.olelive.com:6443/live/GUANGDONGHD/hls.m3u8


湖南卫视,https://node1.olelive.com:6443/live/HUNANHD/hls.m3u8

辽宁卫视,https://node1.olelive.com:6443/live/LIAONINGHD/hls.m3u8


江苏卫视,https://node1.olelive.com:6443/live/JIANGSUHD/hls.m3u8

重庆卫视,https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_2.stream/chunklist.m3u8

延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8?zjild
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?zjild

青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484

浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,https://node1.olelive.com:6443/live/ZHEJIANGHD/hls.m3u8






📡少儿节目,#genre#

倒霉特熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
